record_type,source_node,target_node,source_date,target_date,source_campaign,target_campaign,source_raw_campaigns,target_raw_campaigns,kind,method,method_class,internal,run_count,group_count,edge_count,internal_edge_count
link,0|Early manual,18|Other manual,2026-06-03,2026-07-27,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,2,
link,0|Early manual,1|Early manual,2026-06-03,2026-06-06,Early manual,Early manual,Early manual,Early manual,primary,source_branch,Git/API source fork,False,,,37,
link,0|Early manual,20|Other manual,2026-06-03,2026-08-02,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,1,
link,0|Early manual,21|Other manual,2026-06-03,2026-08-05,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,2,
link,0|Early manual,24|Other manual,2026-06-03,2026-08-14,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,1,
link,0|Early manual,25|Late manual,2026-06-03,2026-08-17,Early manual,Late manual,Early manual,Late manual,primary,source_branch,Git/API source fork,False,,,3,
link,0|Early manual,26|Late manual,2026-06-03,2026-08-20,Early manual,Late manual,Early manual,Late manual,primary,source_branch,Git/API source fork,False,,,1,
link,0|Early manual,28|Late manual,2026-06-03,2026-08-26,Early manual,Late manual,Early manual,Late manual,primary,source_branch,Git/API source fork,False,,,7,
link,0|Early manual,29|Late manual,2026-06-03,2026-08-29,Early manual,Late manual,Early manual,Late manual,primary,source_branch,Git/API source fork,False,,,2,
link,0|Early manual,2|Early manual,2026-06-03,2026-06-09,Early manual,Early manual,Early manual,Early manual,primary,source_branch,Git/API source fork,False,,,11,
link,0|Early manual,30|Automated search,2026-06-03,2026-09-01,Early manual,Automated search,Early manual,Cycle 8,primary,source_branch,Git/API source fork,False,,,1,
link,0|Early manual,3|Early manual,2026-06-03,2026-06-12,Early manual,Early manual,Early manual,Early manual,primary,source_branch,Git/API source fork,False,,,162,
link,0|Early manual,3|Numbered search,2026-06-03,2026-06-12,Early manual,Numbered search,Early manual,Numbered search,primary,source_branch,Git/API source fork,False,,,50,
link,0|Early manual,4|Early manual,2026-06-03,2026-06-15,Early manual,Early manual,Early manual,Early manual,primary,source_branch,Git/API source fork,False,,,20,
link,0|Early manual,5|Automated search,2026-06-03,2026-06-18,Early manual,Automated search,Early manual,Cycle 1,primary,source_branch,Git/API source fork,False,,,19,
link,0|Early manual,5|Pre-cycle search,2026-06-03,2026-06-18,Early manual,Pre-cycle search,Early manual,Pre-cycle search,primary,source_branch,Git/API source fork,False,,,9,
link,0|Early manual,6|Automated search,2026-06-03,2026-06-21,Early manual,Automated search,Early manual,Cycle 1; Cycle 3,primary,source_branch,Git/API source fork,False,,,20,
link,0|Early manual,6|Other manual,2026-06-03,2026-06-21,Early manual,Other manual,Early manual,Other manual,primary,source_branch,Git/API source fork,False,,,59,
link,0|Early manual,7|Numbered search,2026-06-03,2026-06-24,Early manual,Numbered search,Early manual,Numbered search,primary,source_branch,Git/API source fork,False,,,2,
